ktoś - someone, somebody
coś - something
wszyscy - everyone, everybody, all
wszystko - everything
nikt - no one, nobody
nic - nothing
każdy - everyone, everybody, every, each
wszędzie - everywhere
nigdzie - nowhere
ktokolwiek - whoever, anyone
cokolwiek - anything, whatever
kiedykolwiek - whenever, anytime
gdziekolwiek - wherever, anywhere
inny - another, other
jakiś - any, some
kiedyś - someday, sometime
skądś - from somewhere
dokądś - to somewhere
wszystek - all, every
wiele - many, much
niewiele - few, little
żaden - no, none
kilka - a few, several
pewien - a certain, some
mało - few, little
którykolwiek - whichever, whichever one
dowolny - any, whichever
kilkoro - several
